c027	c054	c800	c000	c027	ffd9	c047	c006		
8272	825a	824b	823a	8249	825f	8227	8253		
826c	8265	8243	825d	8237	8254	8241	8289		
826a	8258	8246	8238	8245	825a	8223	824f		
8269	825e	8240	8259	822f	8252	823c	828a		
8268	8252	8243	8235	8246	8258	8222	8250		
8269	825f	8241	8258	8231	824f	823f	8286		
826e	8259	824b	823b	8249	825e	8228	8255		
826d	8262	8244	825d	8235	8254	8241	8289		
8271	825c	824d	823b	824a	825d	8228	8255		
826e	8264	8246	8260	8236	8258	8243	828f		
826b	8254	8246	8235	8246	825b	8223	824e		
8267	825f	8241	8258	8230	8251	823b	8286		
826f	8256	8249	8239	8244	825d	8227	8255		
826a	8264	8240	825c	8232	8252	823f	8286		
826d	8257	824a	8237	8246	825b	8228	8253		
826d	8265	8245	825c	8235	8254	8244	828a		
826b	825a	824a	8238	824a	825f	8228	8253		
826b	8260	8244	825a	8230	8254	823c	8288		
826f	8256	8247	8237	8249	825a	8226	8257		
826b	8262	8242	825f	8236	8254	8243	828c		
826c	8257	8246	8235	8244	825a	8222	824d		
8268	825f	8240	825c	8231	8253	8240	828a		
826f	8258	824a	8236	8246	825c	8226	8253		
8267	8261	823e	825c	8233	8255	8242	8287		
8269	8254	8247	8238	8248	825c	8224	8250		
826c	8265	8245	825b	8233	8256	8242	828b		
8271	825b	824a	823d	824b	825e	822b	8259		
826c	8261	8242	8262	8232	8252	8241	828a		
826f	8258	824a	823a	8249	825f	8228	8256		
826b	8263	8243	825f	8235	8254	8240	8289		
8269	8253	8243	8234	8245	8257	8222	824c		
8267	825b	823f	8258	822e	8254	823e	8285		
826d	825b	824a	823a	8248	825d	8228	8254		
826c	8263	8244	8260	8235	8253	8241	8288		
826a	8258	824a	8239	824a	825c	8225	8256		
826a	8263	8246	825c	8232	8253	823d	8288		
826b	8256	8247	8238	8247	825a	8227	8252		
826a	8261	8241	825c	8232	8254	823f	828b		
826c	8259	8249	823a	824a	825b	8226	8254		
826b	8260	823f	825c	8231	8252	823f	828a		
826e	825a	824c	823b	8249	825e	8226	8253		
8269	8264	8242	825e	8234	8254	823e	8288		
8267	8254	8247	8236	8246	825b	8226	8253		
826b	825f	8240	825b	822f	8253	823d	8285		
826f	8256	8249	8238	8249	825d	8227	8254		
826d	8265	8243	8260	8232	8256	8240	828a		
8273	825c	824d	823e	824c	8260	822c	8257		
826c	8262	8242	825b	8231	8251	8240	8286		
826c	8255	8245	8236	8245	8259	8225	824d		
8268	8260	8240	825c	8233	8253	823e	8289		
826d	8259	8249	8239	8247	825b	8229	8255		
8269	8262	8243	825e	8234	8254	823f	8287		
826e	825a	8249	8239	8247	825e	822a	8256		
826d	8261	8244	825d	8237	8255	8240	828c		
826b	8256	8248	8238	8249	825d	8227	8252		
826d	8262	8242	825d	8233	8256	823e	828b		
8272	825a	824b	823a	824b	825f	8227	8256		
826b	8262	8243	825f	8237	8256	8243	828b		
826b	8259	8247	8238	8247	825e	8222	8250		
8269	825f	8241	8259	822f	8252	823e	8288		
8269	8252	8247	8235	8243	8259	8224	8250		
8268	825e	8240	825b	8231	8255	823d	8286		
826f	8254	824b	823b	8244	825d	8228	8252		
8269	8261	8241	825f	8233	8254	8242	8289		
8268	8257	8245	8236	8247	825c	8221	824d		
826c	8263	8241	8258	8230	8253	823b	8288		
826e	8258	824b	823d	8248	825f	8228	8257		
826a	8260	8243	825d	8234	8258	8243	828e		
826b	8255	8248	8237	8249	825e	8228	8252		
826b	8261	8244	825f	8233	8253	8242	8289		
8270	8255	824c	8237	8247	825e	8226	8255		
826a	8261	8245	825f	8233	8255	8242	828d		
826e	8256	8249	8237	8246	825c	8225	8255		
8269	8262	8243	825e	8232	8256	8240	828a		
8268	8255	8249	8236	8245	8258	8222	8253		
8265	825e	8240	825a	8231	8253	8241	8288		
826d	8256	8247	8239	8246	825c	8225	8255		
826a	8262	8241	825b	8231	8254	8243	828c		
8271	8259	824a	823d	8249	825f	8228	8255		
826c	8264	8242	8259	8232	8254	8242	828b		
826e	8255	8247	8238	8247	825d	8226	8253		
8268	8260	8241	8258	8231	8252	8241	8287		
8265	8257	8245	8235	8247	825c	8224	8250		
826a	8260	8241	825b	8231	8253	823e	828a		
8271	825d	824c	823f	824d	8260	8229	8257		
826c	8266	8243	825f	8235	8256	8246	828c		
826c	8255	8249	823a	8248	825c	8222	824f		
826b	8260	823f	8259	8231	8254	823e	828c		
826b	8257	8249	823a	8248	8259	8223	8251		
826a	8261	8240	825b	8233	8253	8242	828c		
826b	8257	8249	8238	8245	825c	8224	8252		
826a	8261	8241	825b	8233	8254	8240	8287		
826c	8256	8247	8238	8247	825c	8223	8252		
826a	8260	8240	8256	822f	8252	823c	8285		
8271	8258	824a	8239	8249	825c	8227	8256		
826b	8260	8242	825e	8235	8257	8240	8286		
826d	8256	8248	8239	824a	825d	8226	8255		
826a	8264	8246	825c	8232	8254	823d	8286		
826d	825a	824a	823a	824b	825f	8227	8253		
826b	8263	8244	825a	8231	8251	823c	8287		
8271	8256	824b	823a	8249	825c	822a	8255		
8268	8261	8246	8260	8235	8256	8241	828a		
826b	8254	8243	8235	8245	825a	8223	824e		
8269	825f	8240	8259	8230	8250	823b	8284		
826d	8255	8249	823a	8248	825c	8226	8256		
8268	8263	8242	825e	8236	8256	8244	828c		
8271	8258	824c	8238	824b	825f	8229	8254		
826b	8262	8244	825d	8234	8255	8241	828a		
826d	8256	8245	8238	8246	825b	8226	8250		
8269	8261	823f	825b	8232	8250	823d	8289		
826b	8257	824a	823a	8246	825d	8226	8255		
826a	8264	8246	825f	8236	8256	8241	828b		
826a	8256	8245	823a	8248	825b	8227	8254		
826b	8262	8241	825b	8231	8252	823f	8288		
826e	8259	8248	8239	8247	825d	8225	8252		
826d	8262	8242	825d	8234	8257	823f	828b		
8270	8258	8249	8238	8248	825b	8225	8250		
8268	8260	8245	825c	8235	8256	8242	828a		
826c	8258	8248	8236	8249	825b	8226	8250		
826c	8261	8242	825d	8233	8254	823b	8288		
826b	8255	8248	8238	8246	8259	8227	8253		
826b	8260	8242	825d	8233	8254	823e	8288		
826e	8256	824a	8237	8248	825e	8226	8251		
8269	8260	8241	825e	8231	8253	823f	8289		
8270	825a	824a	823a	824a	8260	8229	8256		
826c	8263	8244	8260	8237	8259	8243	828e		
8271	8259	824a	823a	824a	825d	8227	8253		
826c	8265	8245	825c	8236	8256	8242	8288		
a00f	a214	a000	a000	a000	a000	............			
